Area,Stage,Name,FileType,Type,Link,Client,Status,Description,
SDLC,Scoping & Planning,Budgeting Worksheet,Excel,Template,https://opportune.app.box.com/file/768220139405,,Documented,,
SDLC,Scoping & Planning,Communication Plan,Excel,Template,https://opportune.app.box.com/file/765540804422,,Documented,,
SDLC,Scoping & Planning,Risk Log,Excel,Template,https://opportune.app.box.com/file/680596471229,,Documented,,
SDLC,Scoping & Planning,Project Scope Objectives,Word,Template,https://opportune.app.box.com/file/680489950194,,Documented,,
SDLC,Scoping & Planning,Enterprise Applications Top Down Estimating Model,Excel,Template,https://opportune.app.box.com/file/765890411509,,Documented,,
SDLC,Scoping & Planning,OCM Kick-off & Blueprint,Powerpoint,Example,https://opportune.app.box.com/file/765531597737,Amerigas,Documented,,
SDLC,Scoping & Planning,Change Control Process,Word,Template,https://opportune.app.box.com/file/768161981704,,Documented,,
SDLC,Scoping & Planning,Change Management Approach and Methodology,Word,Template,https://opportune.app.box.com/file/765541205483,,Documented,,
SDLC,Scoping & Planning,Commerical Bottom Up Scenario Estimating Model,Excel,Template,https://opportune.app.box.com/file/926827176041,,Documented,,
SDLC,Scoping & Planning,EQT Project Charter,Word,Example,https://opportune.app.box.com/file/809061481546,EQT,Documented,,
SDLC,Scoping & Planning,Guttech Project Team Roles v3,Word,Example,https://opportune.app.box.com/file/768145491549,Guttech,Documented,,
SDLC,Scoping & Planning,IT Change Control,Word,Template,https://opportune.app.box.com/file/768145491549,,Documented,,
SDLC,Scoping & Planning,Supply Chain Optimization Value Tree,Powerpoint,Example,https://opportune.app.box.com/file/765888951661,Lyondellbasell,Documented,,
SDLC,Scoping & Planning,Project Roles and Responsibilities,Word,Example,https://opportune.app.box.com/file/768135678515,PBF ,Documented,,
SDLC,Scoping & Planning,Merger Project Plan,Excel,Example,https://opportune.app.box.com/file/914389015987,SWN ,Documented,,
SDLC,Solution Design,Change Control Log,Excel,Template,https://opportune.app.box.com/file/680602668832,,Documented,,
SDLC,Solution Design,Data Conversion Specification ,Word,Template,https://opportune.app.box.com/file/765552269148,,Documented,,
SDLC,Solution Design,Functional Spec Interface,Word,Template,https://opportune.app.box.com/file/680525602002,,Documented,,
SDLC,Solution Design,Functional Spec Report,Word,Template,https://opportune.app.box.com/file/694369015199,,Documented,,
SDLC,Solution Design,Issue Defect Enhancement Log,Excel,Template,https://opportune.app.box.com/file/680604504453,,Documented,,
SDLC,Solution Design,Requirements Traceability Matrix,Excel,Template,https://opportune.app.box.com/file/679155422101,,Documented,,
SDLC,Solution Design,WRICEF DevObjects Inventory,Excel,Template,https://opportune.app.box.com/file/685377298099,,Documented,,
SDLC,Solution Design,Detailed Training Plan,Excel,Example,https://opportune.app.box.com/file/765888723322,AmeriGas Project Teton ,Documented,,
SDLC,Solution Design,Business Use Case Sample,Word,Example,https://opportune.app.box.com/file/768155485058,TMS / Odfjell ,Documented,,
